dB,PV,ZB
-84,0,0
-58,0.270163006,0
-56.8,0.294896386,0.148809528
-53.5,0.319643717,0.244047576
-51.3,0.344384072,0.297619126
-49,0.369117452,0.345238142
-46.8,0.393864782,0.392857193
-44.5,0.418598163,0.422619084
-42.3,0.443345493,0.446428601
-40,0.468078873,0.470238153
-39.1,0.476476784,0.494047705
-38.2,0.484881669,0.517857239
-37.3,0.493272604,0.541666667
-36.4,0.50167749,0.559523845
-36.5,0.5100754,0.571428612
-35.6,0.518480285,0.58333345
-34.7,0.52687122,0.595238111
-33.8,0.535269131,0.607142878
-32.9,0.543674016,0.619047592
-32.1,0.552064951,0.63095243
-31.2,0.560469837,0.642857197
-30.3,0.568867747,0.654762
-29.4,0.577258682,0.666666749
-28.5,0.585663567,0.678571463
-28.6,0.594061478,0.690476231
-27.7,0.602466363,0.702380962
-26.8,0.610857298,0.708333355
-25.9,0.619262184,0.714285729
-25,0.627660094,0.720238122
-24.1,0.636051029,0.726190479
-23.2,0.644455914,0.732142889
-22.3,0.65284685,0.738095264
-21.4,0.661251735,0.744047603
-21.5,0.669649645,0.750000049
-20.6,0.678054531,0.755952388
-19.7,0.686445466,0.76190478
-18.8,0.694843376,0.767857155
-17.9,0.703248261,0.773809548
-17.1,0.711639197,0.779761922
-16.2,0.720044082,0.785714315
-15.3,0.728441992,0.79166669
-14.4,0.736832928,0.797619082
-13.5,0.745237813,0.803571404
-13.6,0.753635723,0.809523796
-12.7,0.762040608,0.815476188
-11.8,0.770431544,0.821428581
-10.9,0.778836429,0.827380956
-10,0.787234339,0.833333348
-9.62,0.791237994,0.839285705
-9.25,0.795262574,0.84523808
-8.87,0.799273204,0.851190437
-8.49,0.803290809,0.854166642
-8.11,0.807301439,0.857142882
-7.74,0.811312069,0.86011907
-7.36,0.815336649,0.863095257
-6.98,0.819340304,0.866071427
-6.6,0.823364884,0.869047614
-6.23,0.827375514,0.872023802
-5.85,0.831393118,0.874999989
-5.47,0.835403748,0.877976229
-5.09,0.839414378,0.880952399
-4.72,0.843431983,0.883928586
-4.34,0.847442613,0.886904774
-3.96,0.851467193,0.889880961
-3.58,0.855477823,0.892857131
-3.21,0.859488453,0.895833318
-2.83,0.863506058,0.898809559
-2.45,0.867516688,0.901785746
-2.08,0.871534293,0.904761933
-1.7,0.875544923,0.907738103
-1.32,0.879569502,0.91071429
-0.94,0.883580132,0.913690478
-0.57,0.887590762,0.916666647
-0.19,0.891608367,0.919642906
0.19,0.895618997,0.922619075
0.57,0.899636602,0.925595263
0.94,0.903647232,0.928571432
1.32,0.907657862,0.93154762
1.7,0.911682442,0.934523807
2.08,0.915693072,0.937499994
2.45,0.919710677,0.940476217
2.83,0.923721307,0.943452405
3.21,0.927738911,0.946428592
3.58,0.931749541,0.949404779
3.96,0.935760171,0.952380967
4.34,0.939784751,0.955357136
4.72,0.943795381,0.958333324
5.09,0.947812986,0.961309564
5.47,0.951823616,0.964285681
5.85,0.955834246,0.967261939
6.23,0.959851851,0.970238126
6.6,0.963862481,0.973214296
6.98,0.967887061,0.976190466
7.36,0.971897691,0.979166653
7.74,0.975915295,0.98214284
8.11,0.979925925,0.985119028
8.49,0.983936555,0.988095251
8.87,0.98795416,0.99107142
9.25,0.99196479,0.994047608
9.62,0.99598937,0.997023813
10,1,1
