faderposition,settingspayload
0.759029526,0.893596245
0.795178149,0.903263606
0.81326009,0.917771624
0.837354086,0.927452936
0.849393454,0.93469997
0.861448081,0.939533651
0.89156939,0.944374307
0.909636072,0.949214963
0.915663386,0.956468972
0.933730068,0.963716006
0.939757382,0.966136334
0.951812009,0.973390342
0.969878691,0.97581067
0.993972686,0.980651326
1,0.987905335
0.951812009,0.997579672
0.933730068,1
0.927718013,0.990325663
0.915663386,0.980651326
0.89156939,0.970983964
0.867475395,0.966136334
0.855420768,0.961309628
0.831326772,0.951628316
0.819272145,0.946794635
0.801205463,0.939533651
0.783138781,0.932279642
0.771084154,0.92261228
0.759029526,0.920191952
0.746990158,0.912937943
0.728908217,0.910517615
0.716868849,0.908097287
0.692774853,0.903263606
0.674692912,0.898422951
0.662653544,0.891175917
0.638559548,0.886328286
0.626504921,0.876660924
0.614450294,0.866986587
0.602410925,0.864566259
0.57831693,0.852471594
0.566262303,0.847644888
0.554222934,0.84522456
0.536140993,0.835550224
0.524101625,0.830709568
0.506019684,0.825875887
0.493980316,0.821035231
0.475898375,0.813788197
0.463859007,0.808940566
0.439765011,0.801693532
0.42168307,0.796852876
0.403616388,0.789598867
0.379522393,0.782065858
0.367467765,0.761831358
0.349401083,0.74665374
0.331319142,0.731476121
0.319279774,0.711234646
0.301197833,0.701113909
0.283131151,0.68593629
0.271091783,0.670758672
0.259037156,0.660644909
0.240970474,0.645460316
0.228915846,0.625225816
0.216861219,0.620168935
0.198794537,0.604991316
0.174700542,0.594870579
0.162645914,0.584749841
0.138551919,0.569572223
0.120485237,0.549337723
0.10843061,0.539216986
0.084336614,0.51391863
0.066269932,0.498741011
0.048187991,0.488620274
0.024093996,0.478499536
0.006027314,0.454080031
0,0.409363251
0.012054627,0.364646472
0.018066682,0.305038049
0.030121309,0.260321269
0.048187991,0
0.060242618,0.260321269
0.0783093,0.275233837
0.10843061,0.290132455
0.138551919,0.33484226
0.168673228,0.364646472
0.180727855,0.394457658
0.204821851,0.439167463
0.222888533,0.483563392
0.23494316,0.508861748
0.253009842,0.539216986
0.271091783,0.549337723
0.289158465,0.564515342
0.307225147,0.57969296
0.331319142,0.594870579
0.355428397,0.604991316
0.373495079,0.620168935
0.391561761,0.635346553
0.409643702,0.650524172
0.42168307,0.670758672
0.433737697,0.691000146
0.439765011,0.706177765
0.451804379,0.726412265
0.463859007,0.736533002
0.481925689,0.74665374
0.49999237,0.761831358
0.518074311,0.766888239
0.524101625,0.771952096
0.536140993,0.782065858
0.554222934,0.794439523
0.566262303,0.799273204
0.57831693,0.806534188
0.596383612,0.808940566
0.608438239,0.813788197
0.614450294,0.821035231
0.632532235,0.825875887
0.644571603,0.833129896
0.65662623,0.837970552
0.668680858,0.84522456
0.686747539,0.852471594
0.698802167,0.85731225
0.710841535,0.862152906
0.722896162,0.866986587
0.740962844,0.874240596
0.759029526,0.879081252
0.771084154,0.883921908
0.789150835,0.888748614
0.807232776,0.896002623
0.831326772,0.903263606
0.837354086,0.908097287
0.861448081,0.915358271
0.873487449,0.92261228
0.897596704,0.932279642
0.909636072,0.937120298
0.9216907,0.944374307
0.933730068,0.949214963
0.945784695,0.954048644
0.951812009,0.9588893
0.963851377,0.963716006
0.975906004,0.968556661
0.993972686,0.973390342
1,0.978230998
0.993972686,0.980651326
0.957824063,0.985485007
0.9216907,0.990325663
0.89156939,0.997579672
0.855420768,1
0.837354086,0.997579672
0.801205463,0.978230998
0.759029526,0.968556661
0.722896162,0.956468972
0.692774853,0.939533651
0.662653544,0.93469997
0.626504921,0.920191952
0.608438239,0.903263606
0.584344244,0.888748614
0.548195621,0.876660924
0.53011368,0.859732578
0.493980316,0.850065216
0.46988632,0.833129896
0.451804379,0.828296215
0.433737697,0.818614903
0.415655756,0.806534188
0.397589075,0.796852876
0.373495079,0.787129714
0.355428397,0.771952096
0.331319142,0.756767502
0.319279774,0.741589883
0.301197833,0.726412265
0.283131151,0.706177765
0.277103838,0.691000146
0.259037156,0.670758672
0.240970474,0.660644909
0.216861219,0.635346553
0.204821851,0.630282697
0.180727855,0.625225816
0.15663386,0.610048197
0.126512551,0.594870579
0.096391241,0.574629104
0.0783093,0.564515342
0.036148623,0.544273867
0.018066682,0.524039367
0,0.51391863
